"","Date","OC_ID","Trial_Type","Movement_Type","Distance_of_Movement","Duration","Speed","Speed_per_Bodylength","Bearing_Change","Avg_Bearing_vs_Heading","Avg_Bearing_vs_Heading_Change","Avg_Directness_Difference","NewDates"
"1","7_24",1,1,1,63.1553144774397,1.65,38.2759481681453,0.252040460912442,1.20998554883618,2.4692868072481,-0.0748442594607475,0.845607455191034,0
"2","7_24",2,4,1,31.8199586696023,1.65,19.2848234361226,0.132034972547789,0.0166213023614326,1.93039793979041,-0.051256419097155,0.0407746174200402,0
"3","7_24",4,1,2,13.0408084042514,2.2,5.92764018375062,0.0615677055679219,-0.173293777462866,-0.40639847243268,-0.0989055292593687,-0.228067961797589,0
"4","7_24",5,1,2,165.041562102202,4.21666666666667,39.1402914076367,0.253261617870514,-0.479597061956791,-0.223714797947612,-0.107078526902786,0.136248149246831,0
"5","7_24",8,4,2,24.6077299375061,2.38333333333333,10.3249216521004,0.114435200114607,-0.0548527989236364,1.28097627330775,0.084980270278295,-0.337627549511612,0
"6","7_24",9,4,2,169.369030162427,0.916666666666667,184.766214722648,1.27041835019385,-0.224572099193621,0.821105550334365,-0.351148720206936,0.0783947233082079,0
"7","7_24",10,4,2,116.702932232384,4.58333333333333,25.4624579416111,0.186122207781153,-0.470012990247104,0.945939380837774,-0.0214263142742828,0.0780618421068512,0
"8","7_24",11,4,2,118.463601609689,1.28333333333333,92.3092999556015,0.623496422049026,0.167627874091601,1.17062054795709,-0.119369668229062,0.248774067065347,0
"9","7_24",13,4,2,224.47861711327,0.733333333333333,306.107205154459,3.29083131209225,-0.335109380198792,-0.393030377993018,0.124648324184895,-0.146732115479815,0
"10","7_24",14,4,1,74.5924869964099,2.2,33.905675907459,0.247851406942326,-0.193732507545181,-0.310557650931745,0.101276669430909,-0.579254724777858,0
"11","7_24",16,4,2,63.7700218630178,1.46666666666667,43.4795603611485,0.378105491117288,0.0881796039244851,1.15753586640835,-0.0314614731294257,-0.0417873434110019,0
"12","7_24",17,4,2,5.68697116166884,2.2,2.58498689166765,0.0273529982283173,0.188782140933493,0.194365011468967,0.0368152575216772,0.178396626117316,0
"13","7_26",1,4,2,23.451424069319,2.01666666666667,11.6288053236292,0.0765736603245743,0.197428495690704,-1.2718508474577,-0.011958323416209,-0.0336147447852802,2
"14","7_26",2,4,1,10.2545756700455,2.93333333333333,3.49587806933371,0.0239347882257665,0.100058774102816,1.74473227819393,0.09722722738644,0.125803058480998,2
"15","7_26",4,4,2,33.1290745496585,1.46666666666667,22.5880053747671,0.23461134973958,0.095190884319901,1.82358456996928,-0.0518524743816157,0.15783070820999,2
"16","7_26",4,4,2,10.5756053290592,0.916666666666667,11.5370239953373,0.119829826787081,0.249084255477096,2.31271994692613,0.268057189648925,0.28512701123579,2
"17","7_26",5,4,2,20.6069398892064,0.916666666666667,22.4802980609524,0.145461274108381,1.73505989457033,0.105265302243746,-0.741140246870407,1.68016681141353,2
"18","7_26",7,4,2,25.8142766377826,2.01666666666667,12.8004677542723,0.103855938856015,-0.10233480942483,0.898863045933771,-0.205172662138959,0.401773181171402,2
"19","7_26",8,1,1,3.23322989550195,1.83333333333333,1.76357994300106,0.0195464557016157,0.668164758118127,1.38028838684968,0.151972345504604,-0.243574042284243,2
"20","7_26",9,1,2,9.83691618001457,0.733333333333333,13.4139766091108,0.0922320244470351,0.0714105572468797,-0.666026520578534,-0.425621793894821,0.107590601697758,2
"21","7_26",10,1,1,18.1191658691804,1.65,10.9813126479881,0.0802697900990359,-0.549874545553196,0.138337671675779,-0.224975737066906,0.176484493614918,2
"22","7_26",11,1,1,7.06165084656715,1.46666666666667,4.81476194084124,0.032520957742895,1.14354095544989,-1.66201571314197,0.266153599967463,-0.712144819705456,2
"23","7_26",13,1,1,6.83382407732571,1.65,4.14171156201558,0.0445258192699448,-0.0853583013057158,1.46800944979539,-0.299579518473911,-0.112144039984665,2
"24","7_26",14,1,1,5.454635964834,2.56666666666667,2.12518284344182,0.0155351440034519,-0.10986455575406,2.40071971656444,-0.0908544059365062,0.00862890505957127,2
"25","7_26",19,1,1,6.98431632253115,1.83333333333333,3.80962708501699,0.0408260867260649,0.789838577528516,1.61483878946113,-0.511522986245902,-0.0934078276827461,2
"26","7_28",1,1,1,3.33679469225865,1.83333333333333,1.82006983214108,0.0119848432590219,-0.0170201757674273,-0.849897721301457,-0.0669862141761708,0.217237638579671,4
"27","7_28",2,1,1,56.0765533275946,2.2,25.4893424216339,0.17451467150058,0.0890686487684769,0.849719738901955,0.00268995117019544,-0.0026834435977637,4
"28","7_28",5,1,1,7.03458087459842,3.85,1.82716386353206,0.0118228674225552,0.147302658169423,1.63364156965893,-0.006160208945672,0.201517243355778,4
"29","7_28",7,1,1,11.2167930642686,1.1,10.1970846038805,0.0827335231383835,-0.148928535726538,-1.51701161118897,0.160689048262798,0.0358584957681104,4
"30","7_28",8,1,1,9.93162012629676,2.2,4.51437278468034,0.0500345833521882,0.333730764790924,1.21073349048112,0.198690757212736,-0.309172386128158,4
"31","7_28",9,1,1,9.5549718054611,1.65,5.79089200330976,0.0398171033380691,0.660647999997979,1.76825909585162,0.135921446366437,0.0359499653070875,4
"32","7_28",10,1,1,3.14596020576447,2.93333333333333,1.07248643378334,0.00783952371482881,0.0689327568287763,0.291250807626194,-0.0305495751758562,0.324540929596881,4
"33","7_28",11,1,1,15.3234422290036,3.3,4.6434673421223,0.0313639608913432,-0.0323894364310497,1.76949255669932,-0.289614321010163,-0.134171549336497,4
"34","7_28",14,1,1,50.0420326081232,0.733333333333333,68.2391353747135,0.498829923264552,0.0630246869057034,0.00192890995130646,0.140521391236959,0.00593005513367795,4
"35","7_28",16,1,2,15.4520777888317,1.65,9.36489562959498,0.0814386905451364,0.11770988529856,0.575529417425265,-0.376584922549831,-0.0878953042677154,4
"36","7_28",17,1,1,10.2743615162386,1.28333333333333,8.00599598667945,0.0847153208959919,0.0429405213988567,0.923102473117337,0.044295138498415,-0.0258652718774525,4
"37","7_28",18,1,1,9.98601315975782,1.28333333333333,7.78130895565544,0.106465951754346,-0.379131557735202,0.62209089767657,-0.191323733443659,0.458872274593927,4
"38","7_28",19,1,1,13.1734515955578,2.01666666666667,6.53229004738405,0.070003660212092,-0.374672999821235,2.42363114242535,-0.053399426350702,0.117094149930696,4
"39","7_30",1,4,2,12.9854730570062,1.1,11.8049755063693,0.0777337103346163,0.00964983429036781,-0.088838017210917,0.207463362223561,-0.402289015104791,6
"40","7_30",2,4,2,3.53923889989928,1.1,3.21748990899935,0.0220287830591065,-0.147072313887055,-0.202234582986401,0.335193685893222,0.292166842930584,6
"41","7_30",4,4,1,6.378123170249,5.5,1.15965875822709,0.0120448486703881,-0.0283968945144313,1.21951398753969,-0.0294171205488118,-0.0357179678080004,6
"42","7_30",5,4,2,10.6254867685123,1.83333333333333,5.79572005555218,0.0375018525719851,0.0168711062279203,1.03258140904854,-0.04144169947696,-0.0864408839243293,6
"43","7_30",7,4,1,2.13948424801797,2.01666666666667,1.06090128000891,0.008607568143914,-1.57246883433807,0.544432797032362,-0.0169879570564426,0.922544836394596,6
"44","7_30",8,4,2,15.9585127055052,4.4,3.62693470579665,0.0401987552879898,-0.0968481008827641,0.640105587231238,-0.0639506646723513,-0.0688028473657838,6
"45","7_30",9,4,2,23.0168375862959,1.65,13.949598537149,0.0959148618487074,-0.0729979793681177,2.2986284097086,-0.014836674294,0.114349107484807,6
"46","7_30",10,4,2,24.4356776038763,1.83333333333333,13.3285514202961,0.0974273348849048,0.0255465054418784,1.84880699365812,0.0420630939888511,-0.212319970268851,6
"47","7_30",11,4,2,21.8369639080871,0.916666666666667,23.8221424451859,0.160904920601279,0.179588983748661,1.34960835971375,-0.268050019134,0.775394839849411,6
"48","7_30",13,4,2,106.965223908244,1.28333333333333,83.349525123307,0.896056095724353,-0.0810700210417266,1.98173041880344,-0.07974156958893,-0.215612691374827,6
"49","7_30",13,4,2,73.5550383672537,0.366666666666667,200.60465009251,2.15661720063934,0.525865743457281,2.77815330129492,0.45533396968678,0.483090516039567,6
"50","7_30",13,4,2,2.52789434323068,0.733333333333333,3.44712864986001,0.0370586471234663,-0.534340588987422,0.994772140896973,-0.859617058587686,-1.004075108897,6
"51","7_30",14,4,1,1.65041374357297,5.13333333333333,0.321509170825902,0.00235024072522707,0.0896134456639773,2.22880048867338,-0.0319413856750404,0.13071052926224,6
"52","7_30",17,4,1,26.8938362455355,1.46666666666667,18.3367065310469,0.194029572402716,0.0121953884403776,1.07659761161227,-0.464051255622874,-0.0767183246964741,6
"53","7_30",18,4,1,4.7614221664934,6.05,0.787011928346017,0.010768107842895,0.0633202845366472,2.22302489659679,-0.0580432968511411,0.245651304112608,6
"54","7_30",19,4,1,11.5867421354106,3.48333333333333,3.3263374551418,0.0356468857431938,-0.114912733400861,1.407080705419,0.0241845708383506,-0.146971929037097,6
"55","8_1",1,1,1,26.3796782797441,1.46666666666667,17.9861442816437,0.118435631558198,0.440199749580302,-0.0998604381306185,0.336706734490826,-0.0156935468269418,8
"56","8_1",2,1,1,27.4268925212617,1.28333333333333,21.3716045620221,0.146322274144509,-0.210965853001511,0.977235939042279,-0.141908649087266,0.369524737605616,8
"57","8_1",4,1,1,19.3822370240381,5.13333333333333,3.7757604592282,0.0392171085023037,0.408568989046911,0.741251015389942,0.00907192827212074,0.373959740878236,8
"58","8_1",5,1,1,37.3305330182754,1.1,33.9368481984321,0.219592158644071,0.0495039966512629,0.370294330558013,-0.530406770254509,-0.0530562506431229,8
"59","8_1",7,1,1,17.4974900975113,0.916666666666667,19.0881710154669,0.154870896900921,0.196642589221663,-0.443370782731164,0.203541149173157,0.845890028436122,8
"60","8_1",8,1,1,8.53825361055392,2.2,3.8810243684336,0.0430149317560212,0.151156247162225,1.94713826200739,-0.510164631888205,0.368478527447823,8
"61","8_1",9,1,1,3.49573829621939,2.01666666666667,1.73342394853854,0.0119187027573981,-0.0215667842908157,0.837964194719453,-0.142745104727998,0.230731490532306,8
"62","8_1",10,1,1,2.11037426237975,2.2,0.959261028354432,0.00701188317503215,-0.0869526032531102,2.47002822280447,-0.100479410539508,0.12099439277671,8
"63","8_1",11,1,1,10.8747091833724,1.65,6.5907328384075,0.0445166234106918,0.31867370582707,2.36083017997949,0.00231662937552002,-0.00763189016613238,8
"64","8_1",14,4,1,5.5299555221992,2.56666666666667,2.15452812553215,0.015749658808379,-0.176456237105226,-0.093004652660483,0.0211745825984343,-0.0389325352812544,8
"65","8_1",16,4,1,24.781301852173,1.83333333333333,13.5170737375489,0.117546722219652,0.0449521034178932,-0.426081649831258,0.0984288368907468,-0.194811699118745,8
"66","8_1",17,4,1,5.3607413192352,3.85,1.39240034265849,0.0147336623750829,0.215714153902038,-1.58005884182223,0.057119402255463,0.018978287526657,8
"67","8_1",18,4,1,2.68886979251073,3.66666666666667,0.7333281252302,0.0100335916804999,-0.0634080241452213,1.57010238647656,0.232145495915333,-0.486982809341418,8
"68","8_1",19,4,1,10.6731234208321,0.916666666666667,11.6434073681804,0.124777241549383,0.232413422477743,0.284105298900562,0.0655757619897864,0.154600767338542,8
"69","8_11",1,4,1,37.592119817748,0.916666666666667,41.0095852557251,0.270040985641293,0.32562421187194,0.12304820936737,0.175595834665974,0.232718568543783,18
"70","8_11",2,4,2,6.81554350841664,0.916666666666667,7.43513837281815,0.0509052257696706,-0.195793241580645,1.13551622934994,0.052292283585365,0.404259062308726,18
"71","8_11",4,4,2,12.4915047677495,0.916666666666667,13.6270961102722,0.141538456292089,0.115015415140125,-0.521589105838491,0.108471397374354,0.471496391542833,18
"72","8_11",5,4,2,83.3322597607414,1.1,75.7565997824921,0.490191522220999,0.0656665511000225,0.342606282309273,-0.0286679611792476,0.0555690601559413,18
"73","8_11",7,4,2,42.288695838301,1.1,38.44426894391,0.311915605073908,-0.160780686985554,-2.41229919724213,0.053207225567876,-0.509602852187595,18
"74","8_11",7,4,2,4.60056068410681,0.55,8.36465578928511,0.067866205898113,0.43754658616248,-0.178766733681071,-0.03572012524044,-0.0457026447443017,18
"75","8_11",8,4,2,49.4080644437877,1.1,44.9164222216252,0.497826515159872,-0.0232635518128441,-2.05641677564813,0.437736854311293,0.0791470802591379,18
"76","8_11",9,4,2,87.8630069606894,0.55,159.750921746708,1.09841781817118,-0.154421860321812,0.122033116307062,0.536392823340075,-0.806339071494935,18
"77","8_11",10,4,2,9.54060730632859,1.1,8.67327936938963,0.0633988246003318,-0.187822547321375,2.12964165727903,-0.082129221895968,0.00298399680042512,18
"78","8_11",11,4,2,32.6244217356312,1.1,29.6585652142102,0.20032661176135,0.144997074622088,1.21373462222208,-0.186482575059333,0.260876014388046,18
"79","8_11",13,4,1,7.59708887899164,2.01666666666667,3.76715151024379,0.0404990798601111,-0.145971109119345,1.00429224808874,-0.224050544298577,-0.276527121919213,18
"80","8_11",14,4,1,15.9486849797927,2.93333333333333,5.4370516976566,0.0397449948073706,0.0999025794312085,-0.848068059924043,0.00303141867930354,0.37788165452569,18
"81","8_11",16,4,1,87.2610269634078,0.733333333333333,118.992309495556,1.03477692155324,0.255242231982683,2.43307517208252,-0.0917000413153801,0.297765562742463,18
"82","8_11",16,4,2,164.565338189953,0.916666666666667,179.525823479948,1.56118643084938,-0.083872586114435,1.58171981928701,-0.337368687341984,0.0992318886759702,18
"83","8_11",17,4,2,47.7486155184819,0.916666666666667,52.0893987474348,0.551183155413803,0.184585868464746,1.73400400350644,0.0149282215415525,0.00727259465185313,18
"84","8_11",18,4,1,8.7314830189931,5.31666666666667,1.64228520733412,0.0224701857550371,-0.277994732811941,-0.954300098576592,0.0224872141102495,-0.18623198363042,18
"85","8_11",19,4,1,7.46255885618982,3.66666666666667,2.03524332441541,0.0218108015868586,0.0111915504590177,-0.448510540903865,-0.0123244449211974,0.229679115423479,18
"86","8_13",1,4,2,13.4533654309275,0.916666666666667,14.676398651921,0.0966415322885034,0.826156470583253,0.151624223544721,0.140742715661736,0.237893020594112,20
"87","8_13",2,4,2,24.0013184827371,1.1,21.8193804388519,0.149388004862792,-0.156800576821779,0.779640024616616,-0.283564130856267,0.0822057604639465,20
"88","8_13",4,4,2,92.3092927924207,1.28333333333333,71.9293190590291,0.747097158438747,0.168481630229232,2.71178196617583,-0.0162242093051683,0.307141027662254,20
"89","8_13",4,4,2,66.6004934292237,0.366666666666667,181.637709352428,1.88658836615927,-0.249222011964737,1.2123482330895,-0.983006609040702,-0.233773914655889,20
"90","8_13",5,4,2,126.787413288374,0.916666666666667,138.313541769135,0.894973187527605,-0.240730429078019,1.29240705979753,-0.129683342369455,-0.578159726187459,20
"91","8_13",7,4,1,26.5138685432586,2.38333333333333,11.1247000880805,0.0902596838114428,-1.61034936384375,0.663243458683483,-0.266127533344836,-0.971447898522542,20
"92","8_13",8,4,2,14.0977581203536,1.65,8.54409583051735,0.0946976015033225,0.339995650783418,2.06085514720354,-0.58240147024932,-0.195009657559,20
"93","8_13",9,4,2,23.037398632175,1.28333333333333,17.9512197133831,0.123429269612287,-0.232989407029888,-0.353129267352736,0.342493371297693,0.725267421824305,20
"94","8_13",14,4,2,32.8831289333102,0.916666666666667,35.8725042908838,0.262228975564655,-0.100089466079702,-0.334591868503564,0.247030693297601,0.404980259684032,20
"95","8_13",16,4,2,31.8283744218439,0.916666666666667,34.7218630056479,0.301947097790547,-0.103211756676963,1.18122378890285,-0.433964886900513,0.315173651558739,20
