LENGTH FRONT TO BACK,,,,,,,,,,,,,
OC #,1,2,3,4,5,6,7,8,9,10,,,AVG
1,156.554,188.939,193.215,163.637,171.828,172.038,219.429,163.719,161.966,153.007,,,174.4332
2,139.651,156.67,191.604,195.533,183.535,173.669,180.461,151,187.131,204.318,,,176.3572
4,112.058,91.686,112.681,134.6,125.025,132.31,127.563,125.149,111.424,79.828,,,115.2324
5,150.373,206.94,198.295,186.51,146.098,181.218,199.7,193.366,180.624,191.69,,,183.4814
7,164.355,178.533,185.068,153.029,139.001,132.501,121.655,105.65,114.11,162.816,,,145.6718
8,100.415,129.3,129.462,101.588,123.841,101.885,108.946,112.775,110.146,110.102,,,112.846
9,197.699,136.033,188.489,179.744,220.771,172.235,174.522,184.716,122.184,161.037,,,173.743
10,112.927,180.461,160.538,162.69,120.333,135.093,151.184,207.589,161.047,169.248,,,156.111
11,169.118,195.219,162.019,155.708,193.786,187.171,195.727,170.238,173.367,181.618,,,178.3971
12,109.245,96.151,111.198,90.351,102.865,112.929,119.192,117.686,128.524,118.068,,,110.6209
13,125.634,134.634,120.067,128.554,108.168,112.43,97.687,93.825,104.313,85.207,,,111.0519
14,181.86,191.039,174.256,164.055,169.956,160.602,145.775,130.587,129.835,133.159,,,158.1124
16,116.108,112.971,97.131,151.42,158.273,158.619,145.121,151.832,105.688,155.664,,,135.2827
17,103.704,106.301,126.531,109.258,108.908,125.36,122.193,130.324,140.223,116.499,,,118.9301
18,112.634,59.628,70.695,94.008,70.241,88.484,88.7,103.57,89.475,92.793,,,87.0228
19,98.615,118.258,115.729,111.639,130.602,89.506,116.629,108.777,119.004,102.616,,,111.1375
,,,,,,,,,,,,,
,,,,,,,,,,,,,
WIDTH OF MISECTION,,,,,,,,,,,,,
OC #,1,2,3,4,5,6,7,8,9,10,,,
1,147.94,110.473,148.53,121.369,117.137,115.699,120.234,134.634,133.516,143.422,,,
2,122.132,102.753,109.144,116.071,109.33,127.738,128.267,125.536,120.604,96.022,,,
4,72.094,88.624,76.513,66.704,76.511,80.634,83.836,88.182,71.346,68.8,,,
5,143.265,142.665,101.39,144.007,122.385,102.181,125.575,129.248,121.606,123.762,,,
7,111.572,105.562,70.029,106.019,88.772,104.977,104.58,106.099,112.237,98.478,,,
8,77.54,62.163,68.617,72.835,50.344,75.015,64.018,68.893,67.469,69.147,,,
9,130.3,83.385,111.427,148.691,149.843,131.727,78.102,112.161,117.745,107.935,,,
10,121.709,109.573,123.237,91.066,111.485,111.397,123.172,130.736,123.167,129.449,,,
11,135.831,131.454,127.963,126.696,116.726,95.084,89.022,128.016,121.149,105.109,,,
12,81.305,80.725,78.716,70.018,81.394,78.959,60.314,90.649,69.219,73.084,,,
13,79.216,50.384,73.609,70.401,84.039,79.333,78.904,82.608,71.84,79.511,,,
14,120.83,128.39,128.434,85.983,121.491,118.391,118.186,117.615,108.467,107.057,,,
16,104.12,107.221,87.693,96.085,99.228,96.938,62.201,97.739,98.318,97.494,,,
17,79.682,81.056,70.926,68.589,58.902,60.052,72.543,79.076,54.039,75.928,,,
18,58.917,65.652,67.47,62.106,59.397,36.591,53.872,70.419,55.415,61.679,,,
19,82.68,80.056,77.631,90.568,66.472,80.798,56.254,73.207,64.979,82.251,,,